"행정구역","2024년11월_남_총인구수","2024년11월_남_연령구간인구수","2024년11월_남_0~9세","2024년11월_남_10~19세","2024년11월_남_20~29세","2024년11월_남_30~39세","2024년11월_남_40~49세","2024년11월_남_50~59세","2024년11월_남_60~69세","2024년11월_남_70~79세","2024년11월_남_80~89세","2024년11월_남_90~99세","2024년11월_남_100세 이상","2024년11월_여_총인구수","2024년11월_여_연령구간인구수","2024년11월_여_0~9세","2024년11월_여_10~19세","2024년11월_여_20~29세","2024년11월_여_30~39세","2024년11월_여_40~49세","2024년11월_여_50~59세","2024년11월_여_60~69세","2024년11월_여_70~79세","2024년11월_여_80~89세","2024년11월_여_90~99세","2024년11월_여_100세 이상"
"서울특별시  (1100000000)","4,507,664","4,507,664","248,988","369,160","618,386","721,116","685,509","731,718","626,930","348,091","144,068","13,368","330","4,827,831","4,827,831","236,534","352,556","694,359","719,488","702,180","755,916","697,519","421,988","210,459","35,681","1,151"
"서울특별시 종로구 (1111000000)","66,673","66,673","2,829","4,617","9,887","9,787","8,999","11,544","10,508","5,423","2,715","352","12","71,904","71,904","2,722","4,813","11,173","9,908","9,599","11,869","10,508","6,439","4,100","745","28"
"서울특별시 종로구 청운효자동(1111051500)","5,045","5,045","290","513","656","690","768","859","640","367","231","29","2","6,027","6,027","259","503","673","829","1,006","1,031","793","539","330","63","1"
"서울특별시 종로구 사직동(1111053000)","3,978","3,978","206","265","428","635","613","682","588","299","219","39","4","5,033","5,033","212","361","613","803","800","777","691","416","299","58","3"
"서울특별시 종로구 삼청동(1111054000)","1,067","1,067","38","93","121","130","153","158","186","116","61","11","0","1,153","1,153","45","64","118","159","155","175","195","134","88","20","0"
"서울특별시 종로구 부암동(1111055000)","4,239","4,239","192","422","517","575","608","725","642","351","182","25","0","4,806","4,806","184","343","529","616","732","901","744","428","260","67","2"
"서울특별시 종로구 평창동(1111056000)","7,988","7,988","497","733","933","975","1,075","1,373","1,331","686","328","54","3","9,251","9,251","441","786","978","1,064","1,342","1,727","1,494","792","490","128","9"
"서울특별시 종로구 무악동(1111057000)","3,607","3,607","215","391","373","387","579","719","515","270","138","20","0","4,262","4,262","282","533","423","438","667","696","591","348","247","33","4"
"서울특별시 종로구 교남동(1111058000)","4,392","4,392","358","354","494","638","759","791","527","302","155","14","0","5,161","5,161","361","375","573","782","882","834","660","432","225","37","0"
"서울특별시 종로구 가회동(1111060000)","1,779","1,779","92","157","178","246","275","327","254","160","80","10","0","2,016","2,016","61","145","199","266","326","345","294","209","144","26","1"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","4,007","4,007","86","106","468","573","507","728","883","446","190","18","2","2,666","2,666","64","106","492","407","334","337","422","288","183","31","2"
"서울특별시 종로구 종로5.6가동(1111063000)","2,782","2,782","72","87","483","523","326","469","465","225","122","10","0","2,515","2,515","66","105","596","414","252","345","337","239","137","24","0"
"서울특별시 종로구 이화동(1111064000)","3,270","3,270","80","166","671","629","389","490","443","260","129","13","0","3,733","3,733","87","164","874","623","403","510","491","323","218","40","0"
"서울특별시 종로구 혜화동(1111065000)","7,636","7,636","238","582","2,122","1,070","895","1,106","843","449","294","36","1","8,274","8,274","234","597","2,184","976","947","1,219","908","656","471","77","5"
"서울특별시 종로구 창신제1동(1111067000)","2,350","2,350","50","86","277","326","254","422","579","250","97","9","0","2,136","2,136","47","79","272","275","204","386","443","252","156","22","0"
"서울특별시 종로구 창신제2동(1111068000)","3,779","3,779","81","163","459","517","416","818","799","363","143","20","0","3,563","3,563","71","152","418","382","329","756","747","414","264","30","0"
"서울특별시 종로구 창신제3동(1111069000)","3,070","3,070","141","199","402","465","406","530","554","249","101","23","0","3,165","3,165","129","201","354","447","381","601","543","298","187","24","0"
"서울특별시 종로구 숭인제1동(1111070000)","2,779","2,779","88","168","342","403","401","531","491","251","97","7","0","2,966","2,966","85","161","371","400","373","532","516","294","193","40","1"
"서울특별시 종로구 숭인제2동(1111071000)","4,905","4,905","105","132","963","1,005","575","816","768","379","148","14","0","5,177","5,177","94","138","1,506","1,027","466","697","639","377","208","25","0"
"서울특별시 중구 (1114000000)","58,247","58,247","2,737","2,986","7,519","10,797","8,365","9,337","9,152","4,935","2,184","228","7","62,684","62,684","2,631","2,974","9,297","10,861","8,142","9,337","9,276","5,877","3,587","686","16"
