"행정구역","2024년11월_계_총인구수","2024년11월_계_연령구간인구수","2024년11월_계_0~9세","2024년11월_계_10~19세","2024년11월_계_20~29세","2024년11월_계_30~39세","2024년11월_계_40~49세","2024년11월_계_50~59세","2024년11월_계_60~69세","2024년11월_계_70~79세","2024년11월_계_80~89세","2024년11월_계_90~99세","2024년11월_계_100세 이상"
"서울특별시  (1100000000)","9,335,495","9,335,495","485,522","721,716","1,312,745","1,440,604","1,387,689","1,487,634","1,324,449","770,079","354,527","49,049","1,481"
"서울특별시 종로구 (1111000000)","138,577","138,577","5,551","9,430","21,060","19,695","18,598","23,413","21,016","11,862","6,815","1,097","40"
"서울특별시 종로구 청운효자동(1111051500)","11,072","11,072","549","1,016","1,329","1,519","1,774","1,890","1,433","906","561","92","3"
"서울특별시 종로구 사직동(1111053000)","9,011","9,011","418","626","1,041","1,438","1,413","1,459","1,279","715","518","97","7"
"서울특별시 종로구 삼청동(1111054000)","2,220","2,220","83","157","239","289","308","333","381","250","149","31","0"
"서울특별시 종로구 부암동(1111055000)","9,045","9,045","376","765","1,046","1,191","1,340","1,626","1,386","779","442","92","2"
"서울특별시 종로구 평창동(1111056000)","17,239","17,239","938","1,519","1,911","2,039","2,417","3,100","2,825","1,478","818","182","12"
"서울특별시 종로구 무악동(1111057000)","7,869","7,869","497","924","796","825","1,246","1,415","1,106","618","385","53","4"
"서울특별시 종로구 교남동(1111058000)","9,553","9,553","719","729","1,067","1,420","1,641","1,625","1,187","734","380","51","0"
"서울특별시 종로구 가회동(1111060000)","3,795","3,795","153","302","377","512","601","672","548","369","224","36","1"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","6,673","6,673","150","212","960","980","841","1,065","1,305","734","373","49","4"
"서울특별시 종로구 종로5.6가동(1111063000)","5,297","5,297","138","192","1,079","937","578","814","802","464","259","34","0"
"서울특별시 종로구 이화동(1111064000)","7,003","7,003","167","330","1,545","1,252","792","1,000","934","583","347","53","0"
"서울특별시 종로구 혜화동(1111065000)","15,910","15,910","472","1,179","4,306","2,046","1,842","2,325","1,751","1,105","765","113","6"
"서울특별시 종로구 창신제1동(1111067000)","4,486","4,486","97","165","549","601","458","808","1,022","502","253","31","0"
