순위 팀명 경기 승 패 무 승률 게임차 최근10경기 연속 홈 방문
1 KIA 144 87 55 2 0.613 0 5승0무5패 2승 42-1-30 45-1-25
2 삼성 144 78 64 2 0.549 9 3승0무7패 1패 41-0-32 37-2-32
3 LG 144 76 66 2 0.535 11 7승0무3패 2승 39-1-33 37-1-33
4 두산 144 74 68 2 0.521 13 8승0무2패 4승 39-1-31 35-1-37
5 KT 144 72 70 2 0.507 15 5승0무5패 3승 34-1-36 38-1-34
6 SSG 144 72 70 2 0.507 15 8승0무2패 4승 35-1-35 37-1-35
7 롯데 144 66 74 4 0.471 20 4승0무6패 1승 37-3-31 29-1-43
8 한화 144 66 76 2 0.465 21 5승0무5패 2패 30-2-39 36-0-37
9 NC 144 61 81 2 0.430 26 2승0무8패 2패 34-0-39 27-2-42
10 키움 144 58 86 0 0.403 30 1승0무9패 5패 32-0-41 26-0-45
