 구분 , 위치(구역명) , 운동기구 기종명 , 운동기구 수량 , 관리번호, 관리기관 
 남산공원(회현) , 안중근 기념관 옆 , 스텝사이클 ,1, 남삼회현-1(안중근기념관옆)-1 , 중부공원녹지사업소 
 남산공원(회현) , 안중근 기념관 옆 , 크로스 컨트리 ,1, 남삼회현-1(안중근기념관옆)-2 , 중부공원녹지사업소 
 남산공원(회현) , 안중근 기념관 옆 , 체어 웨이트 ,1, 남삼회현-1(안중근기념관옆)-3 , 중부공원녹지사업소 
 남산공원(회현) , 안중근 기념관 옆 , 롤링웨이스트 ,1, 남삼회현-1(안중근기념관옆)-4 , 중부공원녹지사업소 
 남산공원(회현) , 안중근 기념관 옆 , 폴웨이트 ,1, 남삼회현-1(안중근기념관옆)-5 , 중부공원녹지사업소 
 남산공원(회현) , 안중근 기념관 옆 , 물구나무서기 ,1, 남삼회현-1(안중근기념관옆)-6 , 중부공원녹지사업소 
 남산공원(회현) , 잠두체육시설 , 윗몸일으키기 ,1, 남삼회현-2(잠두체육)-1 , 중부공원녹지사업소 
 남산공원(회현) , 잠두체육시설 , 크로스 컨트리 ,1, 남삼회현-2(잠두체육)-2 , 중부공원녹지사업소 
 남산공원(회현) , 잠두체육시설 , 체어 웨이트 ,1, 남삼회현-2(잠두체육)-3 , 중부공원녹지사업소 
 남산공원(회현) , 잠두체육시설 , 허리돌이기 ,1, 남삼회현-2(잠두체육)-4 , 중부공원녹지사업소 
 남산공원(회현) , 잠두체육시설 , 오금펴기 ,1, 남삼회현-2(잠두체육)-5 , 중부공원녹지사업소 
 남산공원(회현) , 잠두체육시설 , 역기 ,1, 남삼회현-2(잠두체육)-6 , 중부공원녹지사업소 
 남산공원(회현) , 잠두체육시설 , 등 지압기 ,1, 남삼회현-2(잠두체육)-7 , 중부공원녹지사업소 
 남산공원(회현) , 잠두체육시설 , 양팔 줄당기기 ,1, 남삼회현-2(잠두체육)-8 , 중부공원녹지사업소 
 남산공원(회현) , 잠두체육시설 , 숄더프레스머신 ,1, 남삼회현-2(잠두체육)-9 , 중부공원녹지사업소 
